,Room,Time,Assoc,Auth
27,B004,1447056129,0,0
28,B004,1447056428,0,0
29,B004,1447056728,0,0
30,B004,1447057033,0,0
31,B004,1447057339,0,0
32,B004,1447057650,0,0
21,B002,1446942859,0,0
22,B002,1446943161,0,0
23,B002,1446943462,0,0
24,B002,1446943765,0,0
25,B002,1446944064,0,0
26,B002,1446944366,0,0
27,B002,1446944664,0,0
28,B002,1446944966,0,0
29,B002,1446945266,0,0
30,B002,1446945565,0,0
31,B002,1446945866,0,0
32,B002,1446946168,0,0
21,B003,1446514416,0,0
22,B003,1446514716,0,0
23,B003,1446515018,0,0
24,B003,1446515318,0,0
25,B003,1446515618,0,0
26,B003,1446515920,0,0
27,B003,1446516227,0,0
28,B003,1446516527,0,0
29,B003,1446516824,0,0
30,B003,1446517125,0,0
31,B003,1446517426,0,0
32,B003,1446517728,0,0
21,B004,1447468466,0,0
22,B004,1447468817,0,0
23,B004,1447469067,0,0
24,B004,1447469366,0,0
25,B004,1447469665,0,0
26,B004,1447469967,0,0
27,B004,1447470268,0,0
28,B004,1447470591,0,0
29,B004,1447470880,0,0
30,B004,1447471180,0,0
31,B004,1447471473,0,0
32,B004,1447471775,0,0
21,B003,1447522416,0,0
22,B003,1447522713,0,0
23,B003,1447523014,0,0
24,B003,1447523318,0,0
25,B003,1447523615,0,0
26,B003,1447523920,0,0
27,B003,1447524223,0,0
28,B003,1447524522,0,0
29,B003,1447524824,0,0
30,B003,1447525125,0,0
31,B003,1447525428,0,0
32,B003,1447525727,0,0
21,B002,1446579115,0,0
22,B002,1446579416,0,0
23,B002,1446579714,0,0
24,B002,1446580016,0,0
25,B002,1446580315,0,0
26,B002,1446580621,0,0
27,B002,1446580923,0,0
28,B002,1446581222,0,0
29,B002,1446581522,0,0
30,B002,1446581826,0,0
31,B002,1446582123,0,0
32,B002,1446582428,0,0
20,B002,1446672695,0,0
21,B002,1446672996,0,0
22,B002,1446673299,0,0
23,B002,1446673600,0,0
24,B002,1446673893,0,0
25,B002,1446674196,0,0
26,B002,1446674510,0,0
27,B002,1446674944,0,0
28,B002,1446675420,0,0
29,B002,1446675714,0,0
30,B002,1446676021,0,0
20,B002,1447547685,0,0
21,B002,1447547987,0,0
22,B002,1447548290,0,0
