14.00-15.00,B108,40,1,50,4th November 2015,1446645600,Seminar
14.00-15.00,B109,90,1,75,4th November 2015,1446645600,Seminar
15.00-16.00,B004,160,0,0,4th November 2015,1446649200,Lecture Theatre
15.00-16.00,B002,90,0,0,4th November 2015,1446649200,Classroom
15.00-16.00,B003,90,0,0,4th November 2015,1446649200,Classroom
15.00-16.00,B106,90,1,75,4th November 2015,1446649200,A.L.E.
15.00-16.00,B108,40,1,25,4th November 2015,1446649200,Seminar
15.00-16.00,B109,90,0,0,4th November 2015,1446649200,Seminar
16.00-17.00,B004,160,0,0,4th November 2015,1446652800,Lecture Theatre
16.00-17.00,B002,90,1,25,4th November 2015,1446652800,Classroom
16.00-17.00,B003,90,0,0,4th November 2015,1446652800,Classroom
16.00-17.00,B106,90,0,0,4th November 2015,1446652800,A.L.E.
16.00-17.00,B108,40,0,0,4th November 2015,1446652800,Seminar
16.00-17.00,B109,90,0,0,4th November 2015,1446652800,Seminar
9.00-10.00,B004,160,1,100,5th November 2015,1446714000,Lecture Theatre
9.00-10.00,B002,90,0,0,5th November 2015,1446714000,Classroom
9.00-10.00,B003,90,0,0,5th November 2015,1446714000,Classroom
9.00-10.00,B106,90,0,0,5th November 2015,1446714000,A.L.E.
9.00-10.00,B108,40,0,0,5th November 2015,1446714000,Seminar
9.00-10.00,B109,90,0,0,5th November 2015,1446714000,Seminar
10.00-11.00,B004,160,1,25,5th November 2015,1446717600,Lecture Theatre
10.00-11.00,B002,90,1,50,5th November 2015,1446717600,Classroom
10.00-11.00,B003,90,1,25,5th November 2015,1446717600,Classroom
10.00-11.00,B106,90,1,50,5th November 2015,1446717600,A.L.E.
10.00-11.00,B108,40,0,0,5th November 2015,1446717600,Seminar
10.00-11.00,B109,90,0,0,5th November 2015,1446717600,Seminar
11.00-12.00,B004,160,1,25,5th November 2015,1446721200,Lecture Theatre
11.00-12.00,B002,90,1,25,5th November 2015,1446721200,Classroom
11.00-12.00,B003,90,1,25,5th November 2015,1446721200,Classroom
11.00-12.00,B106,90,1,50,5th November 2015,1446721200,A.L.E.
11.00-12.00,B108,40,0,0,5th November 2015,1446721200,Seminar
11.00-12.00,B109,90,0,0,5th November 2015,1446721200,Seminar
12.00-13.00,B004,160,1,25,5th November 2015,1446724800,Lecture Theatre
12.00-13.00,B002,90,1,25,5th November 2015,1446724800,Classroom
12.00-13.00,B003,90,1,50,5th November 2015,1446724800,Classroom
12.00-13.00,B106,90,1,50,5th November 2015,1446724800,A.L.E.
12.00-13.00,B108,40,0,0,5th November 2015,1446724800,Seminar
12.00-13.00,B109,90,1,25,5th November 2015,1446724800,Seminar
13.00-14.00,B004,160,1,50,5th November 2015,1446728400,Lecture Theatre
13.00-14.00,B002,90,1,25,5th November 2015,1446728400,Classroom
13.00-14.00,B003,90,1,25,5th November 2015,1446728400,Classroom
13.00-14.00,B106,90,1,25,5th November 2015,1446728400,A.L.E.
13.00-14.00,B108,40,1,75,5th November 2015,1446728400,Seminar
